dataset_name,series_description,algorithm,hyperparameters
H21_train.csv,"A univariate time-series dataset  consists of 560 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 10416.0, maximum value of 23944.0, median value of 16869.5, mean value of 16511.905797101448, and average standard deviation of 0.2630724240322199 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.9488778877364863 for the lag number 1 to -0.11212806759087857 for the lag number 7.There are no insignificant lags in between the first and the last significant ones.The series looks to be a additive time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 24.The series exhibits a skewness value of 0.025096702324863447 and a kurtosis value of 1.3703866948253525. The Fractal dimension analysis yields a value of -0.06745286366281952, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 1.16467595, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
300.csv,"A univariate time-series dataset  consists of 2304 samples with a missing values percentage of 0.0% imputed using FBProphet model and 7.986111111111111% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.3044277885957103, maximum value of 0.9992510787966888, median value of -0.8740670154864849, mean value of -0.7478239260227477, and average standard deviation of 0.1439169338109675 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 8 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 8 lags ranges from 0.6573374652840263 for the lag number 1 to -0.08514394260279885 for the lag number 10. There exist 2 insignificant lags at these indices 7,8 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 329,56,48,41.The series exhibits a skewness value of 1.8245944182203624 and a kurtosis value of 3.5683060785589635. The Fractal dimension analysis yields a value of -0.8492098166170188, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LightgbmRegressor,"{'bagging_freq': 1, 'boosting_type': 'gbdt', 'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 5, 'min_gain_to_split': 0.1, 'n_estimators': 100, 'num_leaves': 100, 'random_state': 42, 'reg_alpha': 0.01, 'reg_lambda': 0.01, 'verbosity': -1}"
M6839_train.csv,"A univariate time-series dataset  consists of 244 samples with a missing values percentage of 0.0% imputed using FBProphet model and 1.2295081967213115% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of 2276.7266666666665, maximum value of 7622.48, median value of 3833.95, mean value of 4141.837223861577, and average standard deviation of 0.0986650432420767 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.882887579765326 for the lag number 1 to 0.1600204983675278 for the lag number 6. There exist 1 insignificant lags at these indices 4 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 244.The series exhibits a skewness value of 0.850917651649158 and a kurtosis value of 0.02091961319990876. The Fractal dimension analysis yields a value of -0.798155227356617, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.3, 'random_state': 42, 'selection': 'cyclic'}"
262.csv,"A univariate time-series dataset  consists of 12672 samples with a missing values percentage of 0.007891414141414142% imputed using FBProphet model and 8.309659090909092% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.4503942846778477, maximum value of 0.9977310641886404, median value of -0.9537870271030106, mean value of -0.8901737562283157, and average standard deviation of 0.11291147022752848 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.22617306640270227 for the lag number 1 to 0.03487133763852036 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 7 seasonality components detected in this series represented as sinusoidal waves with periods 333,56,55,47,42,41,2.The series exhibits a skewness value of 3.4345008358827034 and a kurtosis value of 15.314691930630474. The Fractal dimension analysis yields a value of -0.9530959224198616, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 8.202961796187214e-05, 'random_state': 42, 'selection': 'cyclic'}"
H370_train.csv,"A univariate time-series dataset  consists of 768 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.26041666666666663% detected outliers. The target series has a sampling rate of 60 minutes, minimum value of 19.0, maximum value of 987.0, median value of 337.0, mean value of 320.93438320209975, and average standard deviation of 0.22771002777932003 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.8136504843922567 for the lag number 1 to -0.0885219220209153 for the lag number 5.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 24.The series exhibits a skewness value of 0.5582443484450303 and a kurtosis value of 0.15880513813965313. The Fractal dimension analysis yields a value of -0.30123021591338855, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'estimator': DecisionTreeRegressor(max_depth=5), 'learning_rate': 1.0, 'loss': 'square', 'n_estimators': 150, 'random_state': 42}"
D1056_train.csv,"A univariate time-series dataset  consists of 736 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.2717391304347826% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 1053.59, maximum value of 1545.6, median value of 1356.8400000000001, mean value of 1346.2711885245901, and average standard deviation of 0.07660122533152489 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.9877880749333535 for the lag number 1 to 0.07294911602052194 for the lag number 3. There exist 1 insignificant lags at these indices 2 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 368.The series exhibits a skewness value of 0.679672280768936 and a kurtosis value of 0.3626974591528529. The Fractal dimension analysis yields a value of -0.5130253504418705, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.3, 'random_state': 42, 'selection': 'random'}"
8.csv,"A univariate time-series dataset  consists of 12672 samples with a missing values percentage of 0.023674242424242424% imputed using FBProphet model and 3.858901515151515% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.1867029662233972, maximum value of 1.3171954029906294, median value of 0.804242435271986, mean value of 0.5635647188229522, and average standard deviation of 0.16671561366089244 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8463999616008827 for the lag number 1 to 0.064237613375908 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 333,301.The series exhibits a skewness value of 1.157558066832309 and a kurtosis value of 0.2564804551419573. The Fractal dimension analysis yields a value of -0.9239919818855141, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
251.csv,"A univariate time-series dataset  consists of 144 samples with a missing values percentage of 0.0% imputed using FBProphet model and 3.4722222222222223% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.2234144804313616, maximum value of 0.1167603709081406, median value of -0.9990001308159496, mean value of -0.9662792309720223, and average standard deviation of 0.1322167501451717 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has No significant lags observed using the partial autocorrelation function (pACF). The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 3.The series exhibits a skewness value of 3.451247528836657 and a kurtosis value of 16.01065823866846. The Fractal dimension analysis yields a value of -1.032348618327524, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': 3, 'n_estimators': 250, 'random_state': 42}"
156.csv,"A univariate time-series dataset  consists of 1168 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.244536880711859, maximum value of 0.9944393220915322, median value of -0.3937176022702812, mean value of -0.28134329268848424, and average standard deviation of 0.08570855418191362 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.8668069152831294 for the lag number 1 to 0.08702277180670805 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a logistic trend. There are 4 seasonality components detected in this series represented as sinusoidal waves with periods 61,46,38,34.The series exhibits a skewness value of 0.3799500813928155 and a kurtosis value of 0.9009610591507173. The Fractal dimension analysis yields a value of -0.9447746297913437, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.3, 'random_state': 42, 'selection': 'random'}"
366.csv,"A univariate time-series dataset  consists of 648 samples with a missing values percentage of 0.0% imputed using FBProphet model and 8.950617283950617% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.383969052048795, maximum value of 1.077004711104668, median value of -0.9143971418371128, mean value of -0.6616523898387288, and average standard deviation of 0.19740373889543425 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 6 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 6 lags ranges from 0.31469656100838506 for the lag number 1 to -0.09261368814568831 for the lag number 7. There exist 1 insignificant lags at these indices 6 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 20,3.The series exhibits a skewness value of 1.5548056207865284 and a kurtosis value of 1.4159408465811207. The Fractal dimension analysis yields a value of -1.0630217733161742, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 1.0, 'gamma': 3.9963209507789, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 10, 'subsample': 1}"
449.csv,"A univariate time-series dataset  consists of 144 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.15298600196029, maximum value of 1.231102878952426, median value of -2.1227230113448789e-16, mean value of 0.06949276948191938, and average standard deviation of 0.34533445098410903 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from -0.3954889002453512 for the lag number 1 to 0.25591994089998316 for the lag number 9. There exist 1 insignificant lags at these indices 8 between the first and the last significant ones. The series looks to be a additive time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 3.The series exhibits a skewness value of 0.06101248156014474 and a kurtosis value of 1.3772861893554766. The Fractal dimension analysis yields a value of -1.4434151326388145, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 1.0, 'gamma': 3.9963209507789, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 20, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
102.csv,"A univariate time-series dataset  consists of 168 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of -1.2037721354150372, maximum value of 1.1601814063589304, median value of -0.8537815660276247, mean value of -0.47615470273576666, and average standard deviation of 0.19592512917169577 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 5 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 5 lags ranges from 0.7557859250513276 for the lag number 1 to 0.3989778608287725 for the lag number 6. There exist 1 insignificant lags at these indices 3 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 7,6.The series exhibits a skewness value of 1.0074157253043297 and a kurtosis value of 0.43548375016932717. The Fractal dimension analysis yields a value of -0.5019069968031874, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42, 'warm_start': True}"
200.csv,"A univariate time-series dataset  consists of 10368 samples with a missing values percentage of 0.0% imputed using FBProphet model and 4.812885802469136% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.4169096905068015, maximum value of 0.9892303262881494, median value of -0.9925483577015461, mean value of -0.9486197218301142, and average standard deviation of 0.11354260766744399 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.07715834499487349.The series looks to be a multiplicative time-series with a linear trend. There are 72 seasonality components detected in this series represented as sinusoidal waves with periods 108,69,66,62,59,46,33,24,22,19,19,17,16,16,14,13,12,12,11,11,10,10,9,8,8,8,8,7,7,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2.The series exhibits a skewness value of 4.409303883152691 and a kurtosis value of 22.495328683318476. The Fractal dimension analysis yields a value of -0.9581265109313476, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.002378613016572934, 'random_state': 42, 'selection': 'cyclic'}"
D94_train.csv,"A univariate time-series dataset  consists of 444 samples with a missing values percentage of 0.0% imputed using FBProphet model and 1.8018018018018018% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 1360.0, maximum value of 2284.0, median value of 1792.0, mean value of 1815.8325791855204, and average standard deviation of 0.09136626253599266 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.9714306975450604.The series looks to be a multiplicative time-series with a linear trend. There are 3 seasonality components detected in this series represented as sinusoidal waves with periods 148,63,40.The series exhibits a skewness value of 0.3522646092449435 and a kurtosis value of 0.10914824324556394. The Fractal dimension analysis yields a value of -0.5151148405577652, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 1.0, 'random_state': 42, 'selection': 'cyclic'}"
363.csv,"A univariate time-series dataset  consists of 27648 samples with a missing values percentage of 0.0036168981481481477% imputed using FBProphet model and 11.469184027777777% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.3559729850015614, maximum value of 1.3146166815088909, median value of -0.9174295877522544, mean value of -0.7014725971228369, and average standard deviation of 0.16644185171080697 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.7833031484737643 for the lag number 1 to 0.03951935479516413 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 7 seasonality components detected in this series represented as sinusoidal waves with periods 9216,1152,1024,167,146,144,126.The series exhibits a skewness value of 1.687217648114776 and a kurtosis value of 1.9256919952303702. The Fractal dimension analysis yields a value of -0.9208739382713346, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 512, 'random_state': 42, 'warm_start': True}"
381.csv,"A univariate time-series dataset  consists of 10368 samples with a missing values percentage of 0.009645061728395061% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 10 minutes, minimum value of -1.2025245761822756, maximum value of 1.3292555137474384, median value of 1.1597961000357571e-17, mean value of 0.001498224893795089, and average standard deviation of 0.20109266175455848 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 8 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 8 lags ranges from 0.8857219936628025 for the lag number 1 to 0.029041994540067836 for the lag number 8.There are no insignificant lags in between the first and the last significant ones.The series looks to be a multiplicative time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 1036,144.The series exhibits a skewness value of 0.017786481215866172 and a kurtosis value of 0.6726382549475178. The Fractal dimension analysis yields a value of -0.8124948196451042, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
D4221_train.csv,"A univariate time-series dataset  consists of 192 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 1511.0, maximum value of 1961.0, median value of 1709.0, mean value of 1755.3605263157895, and average standard deviation of 0.058579388290732906 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.9930887095832819.The series looks to be a additive time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 96.The series exhibits a skewness value of 0.14876502729840127 and a kurtosis value of 1.4755291875161414. The Fractal dimension analysis yields a value of -0.5284262257447264, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ElasticNetRegressor,"{'l1_ratio': 0.9222222222222223, 'random_state': 42, 'selection': 'random'}"
343.csv,"A univariate time-series dataset  consists of 3456 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 30 minutes, minimum value of -1.1865268272473275, maximum value of 1.2875433109765158, median value of -4.54674050697822e-17, mean value of -0.0021257737514781072, and average standard deviation of 0.20737180307812256 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 10 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 10 lags ranges from 0.869796796688024 for the lag number 1 to -0.10672776670390213 for the lag number 10.There are no insignificant lags in between the first and the last significant ones.The series looks to be a additive time-series with a linear trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 345,48.The series exhibits a skewness value of 0.0025495662365587106 and a kurtosis value of 0.7040880818407227. The Fractal dimension analysis yields a value of -0.5980818008099262, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 0.9, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 0.8, 'subsample': 1}"
457.csv,"A univariate time-series dataset  consists of 672 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.2478789722241408, maximum value of 1.2574269927796553, median value of -0.8772760238609302, mean value of -0.45028655729469624, and average standard deviation of 0.19971952411806865 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 9 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 9 lags ranges from 0.42916460336981505 for the lag number 1 to -0.11109510636835995 for the lag number 10. There exist 1 insignificant lags at these indices 9 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 4.The series exhibits a skewness value of 0.8699441666969938 and a kurtosis value of 0.5070571729421878. The Fractal dimension analysis yields a value of -1.7345884856203482, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",RandomForestRegressor,"{'max_depth': 5, 'n_estimators': 250, 'random_state': 42}"
D1807_train.csv,"A univariate time-series dataset  consists of 217 samples with a missing values percentage of 0.0% imputed using FBProphet model and 1.8433179723502304% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 2340.0, maximum value of 3000.0, median value of 2527.5, mean value of 2544.5348837209303, and average standard deviation of 0.083390602368108 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has only 1 significant laf observed using the partial autocorrelation function (pACF) with value 0.9639017891642665.The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 217.The series exhibits a skewness value of 0.8055587024594362 and a kurtosis value of 0.7859974106809609. The Fractal dimension analysis yields a value of -0.5633804175794948, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 1.3129127258170417, 'random_state': 42, 'selection': 'random'}"
332.csv,"A univariate time-series dataset  consists of 1056 samples with a missing values percentage of 0.0% imputed using FBProphet model and 7.481060606060606% detected outliers. The target series has a sampling rate of 360 minutes, minimum value of -1.3068072188293525, maximum value of 0.9706598042718332, median value of -0.9069980996599077, mean value of -0.7858048098131882, and average standard deviation of 0.14937622413650925 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.2660505649130602 for the lag number 1 to -0.06352372322330063 for the lag number 9. There exist 3 insignificant lags at these indices 5,7,8 between the first and the last significant ones. The series looks to be a multiplicative time-series with a linear trend. There are 3 seasonality components detected in this series represented as sinusoidal waves with periods 29,27,4.The series exhibits a skewness value of 1.992431176788909 and a kurtosis value of 4.9139411822863925. The Fractal dimension analysis yields a value of -1.0978548532829726, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",XGBoostRegressor,"{'colsample_bytree': 0.5, 'gamma': 1.16467595, 'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200, 'random_state': 42, 'reg_lambda': 10, 'subsample': 1}"
3.csv,"A univariate time-series dataset  consists of 216 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.4629629629629629% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.167759995646524, maximum value of 1.1418871251334055, median value of 0.4887966434165507, mean value of 0.3595675493736586, and average standard deviation of 0.19693802933338422 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 7 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 7 lags ranges from 0.7327504336687135 for the lag number 1 to 0.17527305164793142 for the lag number 10. There exist 3 insignificant lags at these indices 3,7,8 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 21.The series exhibits a skewness value of 0.653149989419558 and a kurtosis value of 0.456061586656467. The Fractal dimension analysis yields a value of -0.4642996232431977, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",SVR,"{'C': 10, 'epsilon': 0.01, 'kernel': 'rbf'}"
D1986_train.csv,"A univariate time-series dataset  consists of 288 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of 1653.0, maximum value of 1848.0, median value of 1746.5, mean value of 1750.9507042253522, and average standard deviation of 0.12129529766957436 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 2 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 2 lags ranges from 0.9725305891242302 for the lag number 1 to 0.1376197538443829 for the lag number 3. There exist 1 insignificant lags at these indices 2 between the first and the last significant ones. The series looks to be a additive time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 288,72.The series exhibits a skewness value of 0.14009807362636909 and a kurtosis value of 1.090497535053679. The Fractal dimension analysis yields a value of -0.5390822218765625, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",LassoRegressor,"{'alpha': 0.24381437457499952, 'random_state': 42, 'selection': 'random'}"
M4478_train.csv,"A univariate time-series dataset  consists of 140 samples with a missing values percentage of 0.0% imputed using FBProphet model and 5.714285714285714% detected outliers. The target series has a sampling rate of 44640 minutes, minimum value of 423.7064516129032, maximum value of 24130.135483870967, median value of 1371.5857142857144, mean value of 1635.4636115477551, and average standard deviation of 0.04856891307702495 for the 10 percentiles. The series is detected as stationary using dickey fuller test.The series has No significant lags observed using the partial autocorrelation function (pACF). The series looks to be a multiplicative time-series with a linear trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 140.The series exhibits a skewness value of 9.670406366355229 and a kurtosis value of 105.44968173634383. The Fractal dimension analysis yields a value of -0.9122132553442872, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",ExtraTreesRegressor,"{'bootstrap': True, 'criterion': 'friedman_mse', 'max_features': 0.2, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50, 'random_state': 42, 'warm_start': True}"
293.csv,"A univariate time-series dataset  consists of 168 samples with a missing values percentage of 0.0% imputed using FBProphet model and 0.0% detected outliers. The target series has a sampling rate of 1440 minutes, minimum value of -1.05598782523621, maximum value of 1.3313881539780263, median value of 0.863233109480477, mean value of 0.5508750787521672, and average standard deviation of 0.19644693583411788 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 6 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 6 lags ranges from 0.6038654865427664 for the lag number 1 to 0.1668250966208889 for the lag number 8. There exist 2 insignificant lags at these indices 3,4 between the first and the last significant ones. The series looks to be a multiplicative time-series with a logistic trend. There are 1 seasonality components detected in this series represented as sinusoidal waves with periods 7.The series exhibits a skewness value of 1.0131503253069267 and a kurtosis value of 0.2683357620713509. The Fractal dimension analysis yields a value of -0.656962773554069, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",AdaboostRegressor,"{'estimator': DecisionTreeRegressor(max_depth=5), 'learning_rate': 0.01, 'loss': 'exponential', 'n_estimators': 10, 'random_state': 42}"
466.csv,"A univariate time-series dataset  consists of 720 samples with a missing values percentage of 0.0% imputed using FBProphet model and 1.1111111111111112% detected outliers. The target series has a sampling rate of 480 minutes, minimum value of -1.280676616632527, maximum value of 0.9976521665074708, median value of -0.07636785469180435, mean value of -0.20234848643125253, and average standard deviation of 0.18573310168235296 for the 10 percentiles. The series is detected as non-stationary using dickey fuller testand it turns into a stationary series using first order differencing. The series has 4 significant lags observed using the partial autocorrelation function (pACF), the pACF values for these 4 lags ranges from 0.026778914679047965 for the lag number 1 to 0.2760584266309312 for the lag number 9. There exist 6 insignificant lags at these indices 1,2,4,5,7,8 between the first and the last significant ones. The series looks to be a additive time-series with a logistic trend. There are 2 seasonality components detected in this series represented as sinusoidal waves with periods 720,2.The series exhibits a skewness value of 0.035216132451640896 and a kurtosis value of 0.6269850759632947. The Fractal dimension analysis yields a value of -1.3722407652563102, indicating a Complex and irregular time-series structure. The dataset is converted into a simple regression task by extracting the previously described features.",GaussianProcessRegressor,"{'alpha': 0.01, 'kernel': DotProduct(sigma_0=0.1), 'random_state': 42}"
